Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability,state
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,BSR Tours And Travels,A/C Seater / Sleeper (2+1),23:59,06h 01m,06:00,4.6,INR 580,8 Seats available,telungana
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,BSR Tours And Travels,A/C Sleeper (2+1),23:59,06h 01m,06:00,4.2,780,13 Seats available,telungana
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Nani’s Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),23:59,05h 01m,05:00,4.4,INR 470,7 Seats available,telungana
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,SAIRAJ TRAVELS,NON A/C Seater (2+2),23:59,06h 16m,06:15,3.5,INR 500,9 Seats available,telungana
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,SAIRAJ TRAVELS,A/C Sleeper (2+1),23:59,05h 31m,05:30,4.2,INR 800,13 Seats available,telungana
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),00:30,05h 00m,05:30,3.1,INR 450,14 Seats available,telungana
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),00:30,04h 30m,05:00,3.2,INR 640,1 Seat available,telungana
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Mozo travels,A/C Seater / Sleeper (2+1),01:30,04h 30m,06:00,4.4,INR 599,14 Seats available,telungana
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Morning Star Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),18:00,03h 45m,21:45,1.8,INR 600,9 Seats available,telungana
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Krishna Travels(VGN),NON A/C Hi-Tech (2+2),23:55,05h 30m,05:25,2.6,INR 400,7 Seats available,telungana
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),00:40,04h 20m,05:00,2.3,INR 800,20 Seats available,telungana
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Morning Star Travels,A/C Sleeper (2+1),00:45,04h 10m,04:55,1.8,INR 600,5 Seats available,telungana
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Morning Star Travels,A/C Sleeper (2+1),01:30,03h 30m,05:00,1.8,INR 790,3 Seats available,telungana
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Nani’s Sai Krishna Travels,NON A/C Hi-Tech Push Back (2+2),23:59,05h 01m,05:00,4.4,INR 3000,41 Seats available,telungana
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,MAHABAHUSRIKVRTRAVELS,A/C Seater / Sleeper (2+1),02:00,04h 35m,06:35,3.2,INR 1100,26 Seats available,telungana
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Bharathi Tours & Travels,A/C Sleeper (2+1),23:59,05h 01m,05:00,2.9,INR 1090,30 Seats available,telungana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8850,Super Luxury (Non AC Seater 2+2 Push Back),14:05,04h 05m,18:10,3.7,INR 320,29 Seats available,telungana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 64526,Super Luxury (Non AC Seater 2+2 Push Back),14:05,03h 50m,17:55,4.0,INR 320,30 Seats available,telungana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8951,Super Luxury (Non AC Seater 2+2 Push Back),14:10,04h 05m,18:15,3.7,INR 320,30 Seats available,telungana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 64958,Super Luxury (Non AC Seater 2+2 Push Back),14:20,04h 30m,18:50,4.2,INR 320,31 Seats available,telungana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8632,Rajdhani (AC Semi Sleeper 2+2),14:30,04h 00m,18:30,2.8,INR 389,35 Seats available,telungana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 1953,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),15:00,05h 30m,20:30,2.7,INR 389,27 Seats available,telungana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 64188,Super Luxury (Non AC Seater 2+2 Push Back),15:00,04h 40m,19:40,3.8,INR 320,31 Seats available,telungana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8648,RAJDHANI (A.C. Semi Sleeper),15:30,04h 00m,19:30,3.9,INR 389,35 Seats available,telungana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8796,RAJDHANI (A.C. Semi Sleeper),15:40,04h 40m,20:20,2.7,INR 389,37 Seats available,telungana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 1320,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),15:55,05h 15m,21:10,2.8,INR 389,32 Seats available,telungana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 64001,RAJADHANI AC (CONVERTED METRO LUXURY),16:00,05h 30m,21:30,2.2,INR 389,35 Seats available,telungana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 64828,Super Luxury (Non AC Seater 2+2 Push Back),16:30,04h 30m,21:00,3.5,INR 320,30 Seats available,telungana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8869,Super Luxury (Non AC Seater 2+2 Push Back),17:40,04h 20m,22:00,4.6,INR 320,1 Seat available,telungana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8682,RAJADHANI AC (CONVERTED METRO LUXURY),18:30,04h 00m,22:30,3.5,INR 389,37 Seats available,telungana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8618,Super Luxury (Non AC Seater 2+2 Push Back),18:40,04h 20m,23:00,3.6,INR 320,30 Seats available,telungana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 64021,RAJDHANI (A.C. Semi Sleeper),19:30,04h 00m,23:30,3.8,INR 389,36 Seats available,telungana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 7645,Super Luxury (Non AC Seater 2+2 Push Back),19:30,06h 15m,01:45,2.7,INR 320,31 Seats available,telungana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8601,Super Luxury (Non AC Seater 2+2 Push Back),19:40,04h 05m,23:45,3.8,INR 320,31 Seats available,telungana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8804,RAJDHANI (A.C. Semi Sleeper),20:35,05h 45m,02:20,3.7,INR 389,27 Seats available,telungana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 64341,Super Luxury (Non AC Seater 2+2 Push Back),20:50,06h 20m,03:10,3.9,INR 320,12 Seats available,telungana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8886,Lahari Non A/C Sleeper Cum Seater,21:00,05h 45m,02:45,3.9,INR 320,38 Seats available,telungana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8825,Super Luxury (Non AC Seater 2+2 Push Back),21:00,05h 40m,02:40,3.3,INR 320,22 Seats available,telungana
