route_name,route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability,state,id
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1464,RAJDHANI (A.C. Semi Sleeper),10:40,06h 10m,16:50,2.3,480.0,37,Andhra Pradesh,53
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40131,Super Luxury (Non AC Seater 2+2 Push Back),11:00,05h 00m,16:00,4.1,396.0,33,Andhra Pradesh,54
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 2991,RAJDHANI (A.C. Semi Sleeper),11:20,05h 40m,17:00,1.7,480.0,37,Andhra Pradesh,55
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40177,Super Luxury (Non AC Seater 2+2 Push Back),11:30,04h 55m,16:25,3.2,440.0,33,Andhra Pradesh,56
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1805,Super Luxury (Non AC Seater 2+2 Push Back),12:00,06h 10m,18:10,1.9,396.0,27,Andhra Pradesh,57
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1582,RAJDHANI (A.C. Semi Sleeper),12:10,04h 30m,16:40,3.1,480.0,34,Andhra Pradesh,58
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40162,Super Luxury (Non AC Seater 2+2 Push Back),12:30,06h 10m,18:40,2.1,396.0,33,Andhra Pradesh,59
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1468,RAJDHANI (A.C. Semi Sleeper),12:40,04h 30m,17:10,2.4,533.0,36,Andhra Pradesh,60
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1547,RAJDHANI (A.C. Semi Sleeper),13:00,06h 10m,19:10,1.9,480.0,35,Andhra Pradesh,61
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 9945,Super Luxury (Non AC Seater 2+2 Push Back),13:00,06h 10m,19:10,2.4,396.0,33,Andhra Pradesh,62
